SECTION HEADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventName,description,financialLesson,category,pool,requiredAsset,insuranceType,outcomeType,season,signal,severity,probability,weight,lossType,fixedLossAmount,minLossPercent,maxLossPercent,affectsIncome,incomePercentChange,incomeEffectMonths,cashReward,momentumReward,affectsExpenses,expenseCategory,expenseFlatChange,expenseEffectMonths,affectsHousehold,adultsLost,childrenLost,affectsLoan,borrowingPowerChange,startsChain,followUpChance,followUpDelay
Medication Costs,Ongoing treatment increases healthcare FixedAmounts.,Chronic illness increases expenses.,Health,Health,None,Health,Negative,Any,Disease,Minor,20.0,10,FixedAmount,150.0,0.0,0.0,FALSE,0.0,6,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Medical Emergency,Family member requires treatment.,Health insurance reduces financial shocks.,Health,Health,None,Health,Negative,Any,Neutral,Major,4.0,10,FixedAmount,500.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,4
Medical Supply Shortage,You are ill but medicine is currently scarce and expensive as a result of policies.,Crises can increase healthcare costs,Health,Economic,None,Health,Negative,Any,Neutral,Moderate,6.0,2,FixedAmount,120.0,5.0,15.0,FALSE,0.0,0,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Medication Costs,A family member has been diagnosed with a serious ailments and will need long term healthcare,Chronic illness increases expenses.,Health,Health,None,Health,Negative,Any,Disease,Minor,20.0,8,FixedAmount,150.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Pandemic Restrictions,A health crisis limits economic activity.,Macro health events affect income.,Health,Health,None,None,Negative,Any,Disease,Major,4.0,4,CashOnHand,0.0,0.0,0.0,TRUE,-20.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.5,2
Parent Hospitalised,A parent's hospital stay means school fees cannot be paid on time this term.,"""Education insurance only pays out on the death of a parent \u2014 hospitalisation is not covered. This is why savings matter too.""",Health,Health,None,Health,Negative,Any,Disease,Moderate,5.0,8,FixedAmount,450.0,0.0,0.0,FALSE,0.0,0,0.0,-2.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Severe Workplace Injury,A serious accident leaves the breadwinner unable to work for months.,Severe injuries can disrupt household income.,Health,Health,None,Health,Negative,Any,Neutral,Major,3.0,6,CashOnHand,0.0,20.0,40.0,TRUE,-50.0,6,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Workplace Accident,A workplace accident leaves the breadwinner unable to work temporarily.,Personal accident insurance can protect income.,Health,Health,None,Health,Negative,Any,Neutral,Moderate,5.0,9,CashOnHand,0.0,10.0,20.0,TRUE,-30.0,4,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Cold snap,A sudden freeze damages vulnerable crops.,Cold snaps are rare but destructive to crops that aren't hardy enough. Planning your planting calendar around seasonal risk reduces your exposure.,Weather,Weather,Crops,Crop,Negative,Winter,Dry,Moderate,4.0,8,AssetValue,0.0,10.0,20.0,TRUE,-10.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Flash Flood,"Sudden flooding sweeps through the area, damaging property.",Flash floods arrive without warning and damage everything in their path. Home and property insurance is the only financial tool that can absorb losses of this scale.,Weather,Weather,House,Home,Negative,Summer,Wet,Major,4.0,8,AssetValue,0.0,10.0,25.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.5,1
Hail storm,"A violent hailstorm batters fields, destroying crops.",Insurance is even more important during rough weather,Weather,Weather,Crops,Crop,Negative,Winter,Wet,Moderate,5.0,10,AssetValue,0.0,10.0,30.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Heavy Rainfall,Days of heavy rain damage buildings and infrastructure.,Heavy rain damages structures and infrastructure that took years to build. Home insurance covers repair costs that savings alone rarely can.,Weather,Weather,House,Home,Negative,Summer,Wet,Moderate,5.0,12,AssetValue,0.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.5,1
Lightning Strike,A lightning strike damages equipment or structures.,"""Low-probability events still happen. Insurance isn't about expecting the worst \u2014 it's about being protected when the unexpected occurs.""",Weather,Weather,None,Home,Negative,Summer,Wet,Minor,3.0,6,AssetValue,0.0,5.0,10.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Severe Drought,Prolonged dry conditions reduce water for crops and livestock.,Drought can reduce income for months at a time. Households without savings or insurance are forced into debt just to survive a dry season.,Weather,Weather,CropsOrLivestock,Crop,Negative,Winter,Dry,Major,4.0,10,AssetValue,0.0,15.0,35.0,TRUE,-15.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.6,2
Strong Winds,Powerful winds damage buildings and exposed equipment.,Wind damage is unpredictable and often underestimated. Home insurance covers structural repairs that would otherwise drain an entire household budget.,Weather,Weather,None,Home,Negative,Any,Neutral,Minor,4.0,10,AssetValue,0.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Breadwinner Death,"The household breadwinner passes away, severely impacting income.",Insurance can protect families from complete income loss and those left behind can still pursue an education.,Health,Health,None,Education,Negative,Any,Disease,Major,2.0,6,FixedAmount,800.0,0.0,0.0,TRUE,-40.0,-1,0.0,-3.0,FALSE,Transport,0.0,0,TRUE,1,0,FALSE,0.0,FALSE,0.25,1
School Fee Crisis,School fees increase unexpectedly and must be paid immediately.,Education expenses require planning and savings.,Economic,Economic,None,None,Negative,Any,EconomicStress,Moderate,7.0,10,FixedAmount,450.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,TRUE,SchoolFees,150.0,1,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Child School Fees,The school sent home a supplementary fee notice. It must be paid or the child stays home.,Education costs are unpredictable. Building a small school buffer helps.,Economic,Economic,None,None,Negative,Any,EconomicStress,Moderate,25.0,10,FixedAmount,120.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Credit Tightening,"Banks reduce lending, limiting access to credit.","When banks reduce lending, those without savings have nowhere to turn. An emergency fund is your own personal credit line that no bank can take away.",Economic,Economic,None,None,Negative,Any,EconomicStress,Moderate,7.0,6,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,TRUE,-10.0,FALSE,0.0,0
Currency Depreciation,Currency weakness raises the cost of imports.,"A weak currency raises the price of imported goods even when your income stays the same. Households feel the squeeze in groceries, fuel, and medication first.",Economic,Economic,None,None,Negative,Any,EconomicStress,Minor,8.0,6,FixedAmount,0.0,0.0,0.0,TRUE,-5.0,2,0.0,0.0,TRUE,Groceries,30.0,2,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Export Ban,Government policy blocks access to export markets.,Government policy can close markets overnight with no warning. Farmers and traders who depend on a single market are most vulnerable to this kind of disruption.,Economic,Economic,Crops,None,Negative,Any,EconomicStress,Major,6.0,8,CashOnHand,0.0,0.0,0.0,TRUE,-20.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.5,2
Fuel Price Surge,Rising fuel prices increase transport costs.,"""Rising fuel prices ripple through every part of the economy. Transport costs, food prices, and utility bills all rise together \u2014 squeezing household budgets from every direction.""",Economic,Economic,None,None,Negative,Any,EconomicStress,Minor,9.0,6,CashOnHand,0.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,TRUE,Transport,20.0,2,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Inflation Spike,Costs increase suddenly.,Inflation erodes purchasing power.,Economic,Economic,None,None,Negative,Any,Neutral,Moderate,5.0,10,CashOnHand,0.0,0.0,0.0,TRUE,-15.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Informal Levy,The ward committee collected an unannounced community levy this month.,Unexpected community demands can disrupt your budget.,Economic,Economic,None,None,Negative,Any,EconomicStress,Minor,25.0,8,FixedAmount,80.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Interest Rate Hike,Loan costs rise.,Debt risk must be managed.,Economic,Economic,None,None,Negative,Any,Neutral,Moderate,4.0,10,CashOnHand,0.0,0.0,0.0,TRUE,-10.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Kombi Fare Hike,Kombi and ZUPCO fares have jumped overnight. Getting to work costs more.,Sudden cost changes can strain a tight budget quickly.,Economic,Economic,None,None,Negative,Any,EconomicStress,Minor,35.0,12,CashOnHand,0.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,TRUE,Transport,-25.0,1,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Loan Repayment Shock,A loan repayment is demanded earlier than expected.,Emergency funds are critical.,Economic,Economic,None,None,Negative,Any,EconomicStress,Moderate,7.0,6,FixedAmount,300.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,TRUE,-200.0,FALSE,0.0,0
Market Price Drop,A sudden oversupply causes crop prices to fall just after your harvest.,Good harvests don't always guarantee good returns. Timing matters.,Economic,Agriculture,CropsOrLivestock,None,Negative,Any,EconomicStress,Minor,10.0,6,CashOnHand,0.0,0.0,0.0,TRUE,-20.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Third Person Vehicle Accident,You were side swipped by a kombi at an intersection.,Motor insurance protects against road accidents. There are various types of motor insurance so pick the right one for you,Economic,Crime,Motor,Motor,Negative,Any,Neutral,Moderate,6.0,9,AssetValue,0.0,10.0,20.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Vehicle Theft,Your vehicle is stolen overnight from outside your home.,Vehicle theft can cause major financial loss.,Crime,Crime,Motor,Motor,Negative,Any,CrimeWave,Major,3.0,6,AssetValue,0.0,40.0,70.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Accidental Death of Breadwinner,"The main earner dies unexpectedly in an accident, leaving the household without its primary income.","""Personal Accident Cover pays a lump sum when the breadwinner dies \u2014 it gives the family time to recover financially.""",Health,Health,None,PersonalAccident,Negative,Any,Neutral,Major,2.0,5,FixedAmount,800.0,0.0,0.0,TRUE,-60.0,-1,0.0,-3.0,FALSE,Transport,0.0,0,TRUE,1,0,FALSE,0.0,FALSE,0.0,0
Death of Family Member,A close relative passes away and the family contributes to funeral costs.,Unexpected family responsibilities can strain finances.,Health,Health,None,Funeral,Negative,Any,Disease,Moderate,6.0,10,FixedAmount,500.0,0.0,0.0,FALSE,-30.0,-1,0.0,0.0,FALSE,Transport,0.0,0,TRUE,1,0,FALSE,0.0,FALSE,0.25,3
Elderly Family Member Death,The passing of an elderly family member requires significant funeral expenses.,Planning for end-of-life expenses can protect families.,Health,Health,None,Funeral,Negative,Any,Disease,Major,4.0,8,FixedAmount,900.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
House Fire,A cooking accident causes a fire that damages part of the home.,Home insurance protects against property damage.,Weather,Weather,House,Home,Negative,Any,Heat,Major,4.0,7,AssetValue,0.0,30.0,60.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Roof Damage,Heavy rains damage the roof of the house.,Extreme weather can damage property,Weather,Weather,House,Home,Negative,Summer,Wet,Moderate,7.0,10,AssetValue,0.0,15.0,35.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Crop Pest Infestation,Pests destroy crops.,Prevention reduces risk.,Crops,Agriculture,Crops,Crop,Negative,Any,Neutral,Moderate,5.0,10,AssetValue,0.0,10.0,30.0,TRUE,-15.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.6,1
Crop Storage Mold,Poor storage conditions cause mold in stored crops.,"Improper storage destroys value that took months to grow. Investing in safe, dry storage facilities is part of the cost of farming.",Crops,Agriculture,Crops,Crop,Negative,Any,Disease,Minor,4.0,8,CashOnHand,0.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Emergency Water Purchase,Water must be purchased to sustain farming operations.,Resource shortages increase expenses,Weather,Weather,CropsOrLivestock,None,Negative,Winter,Dry,Moderate,30.0,3,FixedAmount,-150.0,5.0,15.0,FALSE,0.0,0,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Equipment Breakdown,Essential farming equipment suddenly fails.,A broken machine at the wrong time can delay an entire harvest. Keeping an equipment maintenance fund prevents one breakdown from becoming a catastrophe.,Livestock,Agriculture,CropsOrLivestock,None,Negative,Any,Neutral,Minor,4.0,8,CashOnHand,0.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Feed Contamination,Contaminated feed causes illness among animals.,Contaminated feed enters the food chain invisibly. Sourcing from trusted suppliers and keeping records protects both animals and finances.,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Moderate,4.0,8,AssetValue,0.0,10.0,20.0,TRUE,-10.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Fertilizer Price Spike,"Fertilizer prices surge, increasing production costs.",Input costs can rise sharply and without warning. Farmers who buy inputs in advance during stable periods protect their margins.,Crops,Agriculture,Crops,None,Negative,Any,EconomicStress,Minor,4.0,8,CashOnHand,0.0,0.0,0.0,TRUE,-10.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Flooded Fields,Waterlogged fields delay planting and reduce crop yields.,Extreme weather can damage production,Weather,Weather,Crops,None,Negative,Summer,Wet,Moderate,30.0,3,FixedAmount,200.0,5.0,15.0,TRUE,-25.0,2,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Infrastructure Repair,Storm damage requires urgent repairs to local infrastructure.,Disaster recovery can create unexpected expenses,Weather,Weather,CropsOrLivestock,None,Negative,Any,Neutral,Major,25.0,2,FixedAmount,300.0,10.0,20.0,FALSE,0.0,0,0.0,-2.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Livestock Death,Disease spreads and livestock are lost.,Disease outbreaks can destroy assets,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Major,4.0,2,FixedAmount,400.0,10.0,25.0,TRUE,30.0,3,0.0,-2.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Livestock Disease,A disease outbreak spreads among livestock.,A single disease outbreak can wipe out months of farming income. Livestock insurance covers losses that no amount of savings can easily absorb.,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Major,5.0,10,CashOnHand,0.0,15.0,30.0,TRUE,-20.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,TRUE,0.7,1
Livestock Malnutrition,Drought conditions leave livestock underfed and weak.,Drought affects both crops and animals,Weather,Agriculture,Livestock,None,Negative,Any,Dry,Moderate,25.0,2,CashOnHand,-150.0,5.0,15.0,TRUE,20.0,2,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Market Closures,Public health restrictions force markets to close.,Public health crises affect trade,Health,Economic,CropsOrLivestock,None,Negative,Any,Disease,Moderate,8.0,3,CashOnHand,-200.0,10.0,20.0,TRUE,30.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Market Oversupply,An export disruption floods local markets with goods.,Policy changes can distort markets,Economic,Agriculture,CropsOrLivestock,None,Negative,Any,EconomicStress,Moderate,8.0,3,CashOnHand,200.0,10.0,25.0,TRUE,30.0,2,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Market Restrictions,Disease concerns lead to restrictions on livestock sales.,Disease outbreaks affect markets,Livestock,Economic,Livestock,None,Negative,Any,Disease,Moderate,3.0,2,CashOnHand,150.0,10.0,20.0,TRUE,30.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Parasite Infestation,Parasites spread through the herd causing health problems.,Parasites spread quickly in a herd. Routine veterinary checks cost a fraction of what treating an outbreak does.,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Minor,4.0,8,CashOnHand,0.0,5.0,15.0,TRUE,-10.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Road Damage,Flooded roads slow travel and disrupt market transport.,Infrastructure damage can raise transport costs,Weather,Weather,CropsOrLivestock,None,Negative,Any,Wet,Minor,25.0,2,FixedAmount,100.0,5.0,10.0,FALSE,0.0,0,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Seed Quality Failure,Seeds fail to grow.,Quality inputs matter.,Crops,Agriculture,Crops,Crop,Negative,Any,Neutral,Moderate,4.0,8,AssetValue,0.0,10.0,25.0,TRUE,-15.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Soil Erosion,Floodwaters wash away fertile topsoil from farmland.,Soil protection is critical for long term farming,Weather,Weather,Crops,None,Negative,Summer,Wet,Moderate,25.0,2,FixedAmount,150.0,10.0,20.0,TRUE,-15.0,3,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Spoilage Loss,Unsold goods spoil before they can be sold.,Overproduction can lead to waste,Economic,Agriculture,CropsOrLivestock,None,Negative,Any,EconomicStress,Major,6.0,2,CashOnHand,250.0,10.0,30.0,TRUE,35.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Storage Pressure,Excess production creates costly storage demands.,Supply shocks can create logistical costs,Economic,Agriculture,CropsOrLivestock,None,Negative,Any,EconomicStress,Minor,6.0,2,CashOnHand,120.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Transport Delay,Transport delays cause crops to spoil before reaching market.,Perishable goods have no patience for delays. A day's hold-up can turn a profit into a loss. Diversifying market access reduces this risk.,Livestock,Agriculture,Motor,None,Negative,Any,Neutral,Minor,3.0,8,CashOnHand,0.0,5.0,10.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Transport Restrictions,Movement restrictions disrupt trade and travel.,Lockdowns disrupt logistics,Health,Economic,None,None,Negative,Any,Disease,Minor,6.0,2,FixedAmount,100.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Veterinary Treatment,Sick animals require veterinary care,Delaying animal care to save money often leads to larger losses. Treating illness early is almost always cheaper than treating it late.,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Moderate,6.0,4,CashOnHand,200.0,5.0,10.0,FALSE,0.0,1,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Water Contamination,Polluted water threatens livestock health.,Polluted water silently damages livestock health before symptoms appear. Regular water testing is a low-cost way to avoid a high-cost crisis.,Livestock,Agriculture,Livestock,Crop,Negative,Any,Disease,Moderate,3.0,8,CashOnHand,0.0,10.0,20.0,TRUE,-10.0,2,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Bonus Pay,Your employer pays a festive season bonus.,"A bonus is an opportunity, not a guarantee. Directing it toward savings, debt repayment, or insurance premiums builds lasting stability rather than temporary relief.",Economic,Opportunity,None,None,Positive,Summer,Neutral,Minor,8.0,10,FixedAmount,0.0,0.0,0.0,TRUE,10.0,1,0.0,1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Bumper Harvest,Favorable rains result in an unusually high crop yield.,Weather conditions can sometimes bring opportunity.,Crops,Opportunity,Crops,None,Positive,Summer,Wet,Moderate,10.0,12,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,1200.0,3.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.35,1
Community Burial Society Payout,Your burial society pays out after a difficult family period.,Community financial structures provide real protection.,Economic,Opportunity,None,None,Positive,Any,Neutral,Minor,5.0,6,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,400.0,6.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Community Investment,A community project boosts local economic activity.,Community development helps growth.,Economic,Opportunity,CropsOrLivestock,None,Positive,Any,Neutral,Minor,2.5,6,FixedAmount,0.0,0.0,0.0,TRUE,15.0,3,150.0,10.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Family Remittance,A relative working abroad sends money home to support the household.,Diversifying income sources increases resilience.,Economic,Opportunity,None,None,Positive,Any,EconomicStress,Minor,12.0,15,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,500.0,2.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Government Grant,A small government grant supports your operations.,Opportunities reward preparation.,Economic,Opportunity,CropsOrLivestock,None,Positive,Any,Neutral,Minor,3.5,6,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,500.0,15.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Market Price Boom,"Market prices suddenly rise, increasing profits.",Windfalls from good markets are temporary. The households that benefit most are those who save a portion rather than spending the full gain.,Economic,Opportunity,CropsOrLivestock,None,Positive,Any,Neutral,Minor,3.5,6,FixedAmount,0.0,0.0,0.0,TRUE,20.0,2,200.0,10.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
NGO Food Support,Aid organizations distribute emergency assistance during difficult times.,Community and aid support can help households recover.,Economic,Opportunity,None,None,Positive,Any,Dry,Minor,9.0,12,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,250.0,1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Salary Review,Your employer recognises your contributions with a pay increase.,Consistent performance builds financial stability.,Economic,Opportunity,None,None,Positive,Any,Neutral,Minor,6.0,8,FixedAmount,0.0,0.0,0.0,TRUE,15.0,-1,0.0,8.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Side Income,A small piece of work on the side brings in extra income this month.,Multiple income streams reduce dependence on one source.,Economic,Opportunity,None,None,Positive,Any,Neutral,Minor,8.0,10,FixedAmount,0.0,0.0,0.0,FALSE,0.0,0,250.0,5.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
